player,teamAbbreviation,games,fieldGoals,threePointPercent,freeThrowPercent,rebounds,assists,steals,blocks,personalFouls,points
Mike James,PHO,32,121,0.268,0.762,89,120,27,7,71,344
Mike James,NOP,4,2,0,1,6,1,0,1,71,345
Al Jefferson,IND,36,111,0,0.833,143,30,16,23,71,346
Richard Jefferson,DEN,20,12,0.286,0.571,17,15,2,1,71,347
Brandon Jennings,MIL,14,27,0.273,1,31,44,6,4,71,348
Jonas Jerebko,UTA,74,159,0.414,0.807,246,42,24,12,71,349
Amir Johnson,PHI,74,140,0.313,0.612,330,118,45,44,71,350
Brice Johnson,LAC,9,7,0,1,13,1,6,2,71,351
Brice Johnson,MEM,9,13,13,7,1,3,4,1,71,352
Dakari Johnson,OKC,31,22,22,16,8,6,8,3,71,353
James Johnson,MIA,73,309,0.308,0.698,358,280,70,51,71,354
Joe Johnson,UTA,32,95,0.274,0.833,107,45,12,6,71,355
Joe Johnson,HOU,23,51,0.279,0.952,65,38,6,1,71,356
Omari Johnson,MEM,4,9,0.333,4,7,2,0,3,71,357
Stanley Johnson,DET,69,210,0.286,0.772,252,112,95,14,71,358
Tyler Johnson,MIA,72,309,0.367,0.822,248,165,60,34,71,359
Wesley Johnson,LAC,74,150,0.339,0.741,216,61,76,62,71,360
Nikola Jokic,DEN,75,504,0.396,0.85,803,458,90,61,71,361
Damian Jones,GSW,15,11,11,5,2,1,3,4,71,362
Derrick Jones,PHO,6,2,0,0.833,4,3,1,4,71,363
Derrick Jones,MIA,14,19,0.188,0.611,34,6,3,9,71,364
Jalen Jones,NOP,4,1,1,1,3,0,0,0,71,365
Jalen Jones,DAL,12,25,0.36,0.588,35,4,5,1,71,366
Tyus Jones,MIN,82,150,0.349,0.877,132,232,95,6,71,367
DeAndre Jordan,LAC,77,373,373,329,117,39,71,137,71,368
Cory Joseph,IND,82,256,0.353,0.745,263,260,80,18,71,369
Frank Kaminsky,CHO,79,307,0.38,0.799,288,129,36,19,71,370
Enes Kanter,NYK,71,422,0,0.848,780,105,36,37,71,371
Luke Kennard,DET,73,206,0.415,0.855,176,124,44,13,71,372
Michael Kidd-Gilchrist,CHO,74,282,0,0.684,302,71,51,32,71,373
Sean Kilpatrick,BRK,16,25,0.256,0.947,35,15,2,1,71,374
Sean Kilpatrick,MIL,23,31,0.283,0.947,25,15,5,1,71,375
Sean Kilpatrick,LAC,4,7,0.429,1,2,3,0,0,71,376
Sean Kilpatrick,CHI,9,47,0.396,0.813,25,13,6,3,71,377
Maxi Kleber,DAL,72,151,0.313,0.746,234,51,26,47,71,378
Furkan Korkmaz,PHI,14,8,0.294,0.5,11,4,2,1,71,379
Luke Kornet,NYK,20,49,0.354,0.727,64,26,6,16,71,380
Kyle Korver,CLE,73,222,0.436,0.889,165,88,31,27,71,381
Kosta Koufos,SAC,71,222,222,149,87,47,32,49,71,382
Kyle Kuzma,LAL,77,468,0.366,0.707,483,141,49,34,71,383
Mindaugas Kuzminskas,NYK,1,0,0,0,0,0,0,0,71,384
Skal Labissiere,SAC,60,205,0.353,0.805,288,72,25,49,71,385
Jeremy Lamb,CHO,80,380,0.37,0.861,324,186,61,32,71,386
Shane Larkin,BOS,54,84,0.36,0.865,92,98,29,2,71,387
Joffrey Lauvergne,SAS,55,98,0,0.638,171,41,9,3,71,388
Zach LaVine,CHI,24,136,0.341,0.813,94,72,24,4,71,389
Jake Layman,POR,35,14,0.2,0.667,16,11,6,4,71,390
T.J. Leaf,IND,53,64,0.429,0.625,82,9,5,4,71,391
Courtney Lee,NYK,76,343,0.406,0.919,224,180,80,17,71,392
Damion Lee,ATL,15,62,0.25,0.759,71,29,19,1,71,393
Walt Lemon,NOP,5,7,1,0.667,2,5,0,1,71,394
Alex Len,PHO,69,214,0.333,0.684,518,82,27,61,71,395
Kawhi Leonard,SAS,9,52,0.314,0.816,42,21,18,9,71,396
Meyers Leonard,POR,33,46,0.423,0.818,70,17,7,0,71,397
Jon Leuer,DET,8,15,0,0.867,32,5,1,3,71,398
Caris LeVert,BRK,71,320,0.347,0.711,260,299,82,22,71,399
DeAndre Liggins,MIL,31,22,0.306,0.4,49,27,27,10,71,400
DeAndre Liggins,NOP,27,18,0.471,2,21,10,4,7,71,401
Damian Lillard,POR,73,621,0.361,0.916,325,481,77,27,71,402
Jeremy Lin,BRK,1,5,0.5,1,0,4,0,0,71,403
Shaun Livingston,GSW,71,172,0,0.82,131,140,35,21,71,404
Kevon Looney,GSW,66,112,0.2,0.545,215,42,34,56,71,405
Brook Lopez,LAL,74,369,0.345,0.703,294,126,30,98,71,406
Robin Lopez,CHI,64,342,0.286,0.756,290,124,14,53,71,407
Kevin Love,CLE,59,334,0.415,0.88,546,103,43,24,71,408
Kyle Lowry,TOR,78,403,0.399,0.854,434,537,85,19,71,409
Timothe Luwawu-Cabarrot,PHI,52,100,0.335,0.793,72,54,12,5,71,410
Tyler Lydon,DEN,1,0,0,0,0,0,1,1,71,411
Trey Lyles,DEN,73,270,0.381,0.706,347,91,30,34,71,412
Shelvin Mack,ORL,69,178,0.345,0.711,166,272,54,8,71,413
Josh Magette,ATL,18,15,0.364,1,19,57,8,1,71,414
Ian Mahinmi,WAS,77,138,0,0.703,312,53,38,42,71,415
Thon Maker,MIL,74,130,0.298,0.699,225,46,38,53,71,416
Boban Marjanovic,DET,19,41,41,15,14,4,6,22,71,417
Boban Marjanovic,LAC,20,38,38,33,8,6,5,14,71,418
Lauri Markkanen,CHI,68,374,0.362,0.843,508,79,39,40,71,419
Jarell Martin,MEM,73,221,0.347,0.767,318,73,39,49,71,420
Frank Mason,SAC,52,144,0.36,0.817,130,147,34,10,71,421
Mangok Mathiang,CHO,4,4,4,3,0,1,0,0,71,422
Wesley Matthews,DAL,63,283,0.381,0.822,198,172,76,16,71,423
Luc Mbah a Moute,HOU,61,166,0.364,0.684,186,55,72,25,71,424
James Michael McAdoo,PHI,3,2,0.286,0,0,0,1,1,71,425
Patrick McCaw,GSW,57,92,0.238,0.765,82,81,43,10,71,426
CJ McCollum,POR,81,667,0.397,0.836,321,272,77,35,71,427
T.J. McConnell,PHI,76,210,0.435,0.795,226,303,92,13,71,428
Erik McCree,UTA,4,0,0,0,0,1,0,1,71,429
Chris McCullough,WAS,19,18,0.125,0.643,25,4,0,5,71,430
Doug McDermott,NYK,55,151,0.387,0.755,134,50,10,12,71,431
Doug McDermott,DAL,26,86,0.494,0.857,66,29,9,4,71,432
JaVale McGee,GSW,65,136,0,0.731,169,33,21,57,71,433
Rodney McGruder,MIA,18,36,0.429,0.5,32,17,8,3,71,434
Trey McKinney-Jones,IND,1,0,0,0,0,0,1,1,71,435
Alfonzo McKinnie,TOR,14,8,0.333,0.667,7,1,1,1,71,436
Ben McLemore,MEM,56,157,0.346,0.828,139,51,38,15,71,437
Josh McRoberts,DAL,2,0,0,0,0,0,0,2,71,438
Jodie Meeks,WAS,77,157,0.343,0.863,126,70,29,4,71,439
Salah Mejri,DAL,61,88,0,0.576,246,35,22,67,121,440
Jordan Mickey,MIA,23,39,0.125,0.684,81,9,6,10,36,441
Khris Middleton,MIL,82,593,0.359,0.884,429,328,119,21,270,442
C.J. Miles,TOR,70,227,0.361,0.835,152,55,37,21,134,443
Darius Miller,NOP,82,216,0.411,0.866,164,111,28,17,160,444
Malcolm Miller,TOR,15,13,0.381,1,15,3,1,2,10,445
Patty Mills,SAS,82,280,0.372,0.89,154,229,55,11,128,446
Paul Millsap,DEN,38,202,0.345,0.696,245,105,39,44,99,447
Nikola Mirotic,CHI,25,143,0.429,0.823,159,39,15,13,45,448
Nikola Mirotic,NOP,30,163,0.335,0.81,246,41,29,26,63,449
